id,name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst,image,display_name
3,venusaur,grass,poison,80,82,83,100,100,80,525,3.png,Venusaur
6,charizard,fire,flying,78,84,78,109,85,100,534,6.png,Charizard
9,blastoise,water,,79,83,100,85,105,78,530,9.png,Blastoise
18,pidgeot,normal,flying,83,80,75,70,70,101,479,18.png,Pidgeot
26,raichu,electric,,60,90,55,90,80,110,485,26.png,Raichu
31,nidoqueen,poison,ground,90,92,87,75,85,76,505,31.png,Nidoqueen
34,nidoking,poison,ground,81,102,77,85,75,85,505,34.png,Nidoking
36,clefable,fairy,,95,70,73,95,90,60,483,36.png,Clefable
38,ninetales,fire,,73,76,75,81,100,100,505,38.png,Ninetales
45,vileplume,grass,poison,75,80,85,110,90,50,490,45.png,Vileplume
55,golduck,water,,80,82,78,95,80,85,500,55.png,Golduck
59,arcanine,fire,,90,110,80,100,80,95,555,59.png,Arcanine
62,poliwrath,water,fighting,90,95,95,70,90,70,510,62.png,Poliwrath
65,alakazam,psychic,,55,50,45,135,95,120,500,65.png,Alakazam
68,machamp,fighting,,90,130,80,65,85,55,505,68.png,Machamp
71,victreebel,grass,poison,80,105,65,100,70,70,490,71.png,Victreebel
73,tentacruel,water,poison,80,70,65,80,120,100,515,73.png,Tentacruel
76,golem,rock,ground,80,120,130,55,65,45,495,76.png,Golem
78,rapidash,fire,,65,100,70,80,80,105,500,78.png,Rapidash
80,slowbro,water,psychic,95,75,110,100,80,30,490,80.png,Slowbro
87,dewgong,water,ice,90,70,80,70,95,70,475,87.png,Dewgong
89,muk,poison,,105,105,75,65,100,50,500,89.png,Muk
91,cloyster,water,ice,50,95,180,85,45,70,525,91.png,Cloyster
94,gengar,ghost,poison,60,65,60,130,75,110,500,94.png,Gengar
97,hypno,psychic,,85,73,70,73,115,67,483,97.png,Hypno
99,kingler,water,,55,130,115,50,50,75,475,99.png,Kingler
101,electrode,electric,,60,50,70,80,80,150,490,101.png,Electrode
103,exeggutor,grass,psychic,95,95,85,125,75,55,530,103.png,Exeggutor
110,weezing,poison,,65,90,120,85,70,60,490,110.png,Weezing
112,rhydon,ground,rock,105,130,120,45,45,40,485,112.png,Rhydon
115,kangaskhan,normal,,105,95,80,40,80,90,490,115.png,Kangaskhan
121,starmie,water,psychic,60,75,85,100,85,115,520,121.png,Starmie
123,scyther,bug,flying,70,110,80,55,80,105,500,123.png,Scyther
125,electabuzz,electric,,65,83,57,95,85,105,490,125.png,Electabuzz
126,magmar,fire,,65,95,57,100,85,93,495,126.png,Magmar
127,pinsir,bug,,65,125,100,55,70,85,500,127.png,Pinsir
128,tauros,normal,,75,100,95,40,70,110,490,128.png,Tauros
130,gyarados,water,flying,95,125,79,60,100,81,540,130.png,Gyarados
131,lapras,water,ice,130,85,80,85,95,60,535,131.png,Lapras
134,vaporeon,water,,130,65,60,110,95,65,525,134.png,Vaporeon
135,jolteon,electric,,65,65,60,110,95,130,525,135.png,Jolteon
136,flareon,fire,,65,130,60,95,110,65,525,136.png,Flareon
139,omastar,rock,water,70,60,125,115,70,55,495,139.png,Omastar
141,kabutops,rock,water,60,115,105,65,70,80,495,141.png,Kabutops
142,aerodactyl,rock,flying,80,105,65,60,75,130,515,142.png,Aerodactyl
143,snorlax,normal,,160,110,65,65,110,30,540,143.png,Snorlax
144,articuno,ice,flying,90,85,100,95,125,85,580,144.png,Articuno
145,zapdos,electric,flying,90,90,85,125,90,100,580,145.png,Zapdos
146,moltres,fire,flying,90,100,90,125,85,90,580,146.png,Moltres
149,dragonite,dragon,flying,91,134,95,100,100,80,600,149.png,Dragonite
150,mewtwo,psychic,,106,110,90,154,90,130,680,150.png,Mewtwo
151,mew,psychic,,100,100,100,100,100,100,600,151.png,Mew
154,meganium,grass,,80,82,100,83,100,80,525,154.png,Meganium
157,typhlosion,fire,,78,84,78,109,85,100,534,157.png,Typhlosion
160,feraligatr,water,,85,105,100,79,83,78,530,160.png,Feraligatr
169,crobat,poison,flying,85,90,80,70,80,130,535,169.png,Crobat
181,ampharos,electric,,90,75,85,115,90,55,510,181.png,Ampharos
182,bellossom,grass,,75,80,95,90,100,50,490,182.png,Bellossom
186,politoed,water,,90,75,75,90,100,70,500,186.png,Politoed
196,espeon,psychic,,65,65,60,130,95,110,525,196.png,Espeon
197,umbreon,dark,,95,65,110,60,130,65,525,197.png,Umbreon
199,slowking,water,psychic,95,75,80,100,110,30,490,199.png,Slowking
208,steelix,steel,ground,75,85,200,55,65,30,510,208.png,Steelix
212,scizor,bug,steel,70,130,100,55,80,65,500,212.png,Scizor
213,shuckle,bug,rock,20,10,230,10,230,5,505,213.png,Shuckle
214,heracross,bug,fighting,80,125,75,40,95,85,500,214.png,Heracross
217,ursaring,normal,,90,130,75,75,75,55,500,217.png,Ursaring
224,octillery,water,,75,105,75,105,75,45,480,224.png,Octillery
226,mantine,water,flying,85,40,70,80,140,70,485,226.png,Mantine
229,houndoom,dark,fire,75,90,50,110,80,95,500,229.png,Houndoom
230,kingdra,water,dragon,75,95,95,95,95,85,540,230.png,Kingdra
232,donphan,ground,,90,120,120,60,60,50,500,232.png,Donphan
233,porygon2,normal,,85,80,90,105,95,60,515,233.png,Porygon2
241,miltank,normal,,95,80,105,40,70,100,490,241.png,Miltank
242,blissey,normal,,255,10,10,75,135,55,540,242.png,Blissey
243,raikou,electric,,90,85,75,115,100,115,580,243.png,Raikou
244,entei,fire,,115,115,85,90,75,100,580,244.png,Entei
245,suicune,water,,100,75,115,90,115,85,580,245.png,Suicune
248,tyranitar,rock,dark,100,134,110,95,100,61,600,248.png,Tyranitar
249,lugia,psychic,flying,106,90,130,90,154,110,680,249.png,Lugia
250,ho-oh,fire,flying,106,130,90,110,154,90,680,250.png,Ho Oh
251,celebi,psychic,grass,100,100,100,100,100,100,600,251.png,Celebi
254,sceptile,grass,,70,85,65,105,85,120,530,254.png,Sceptile
257,blaziken,fire,fighting,80,120,70,110,70,80,530,257.png,Blaziken
260,swampert,water,ground,100,110,90,85,90,60,535,260.png,Swampert
272,ludicolo,water,grass,80,70,70,90,100,70,480,272.png,Ludicolo
275,shiftry,grass,dark,90,100,60,90,60,80,480,275.png,Shiftry
282,gardevoir,psychic,fairy,68,65,65,125,115,80,518,282.png,Gardevoir
289,slaking,normal,,150,160,100,95,65,100,670,289.png,Slaking
295,exploud,normal,,104,91,63,91,73,68,490,295.png,Exploud
306,aggron,steel,rock,70,110,180,60,60,50,530,306.png,Aggron
310,manectric,electric,,70,75,60,105,60,105,475,310.png,Manectric
321,wailord,water,,170,90,45,90,45,60,500,321.png,Wailord
330,flygon,ground,dragon,80,100,80,80,80,100,520,330.png,Flygon
332,cacturne,grass,dark,70,115,60,115,60,55,475,332.png,Cacturne
334,altaria,dragon,flying,75,70,90,70,105,80,490,334.png,Altaria
344,claydol,ground,psychic,60,70,105,70,120,75,500,344.png,Claydol
