id,name,display_name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst,image
3,venusaur,Venusaur,grass,poison,80,82,83,100,100,80,525,3.png
6,charizard,Charizard,fire,flying,78,84,78,109,85,100,534,6.png
9,blastoise,Blastoise,water,,79,83,100,85,105,78,530,9.png
18,pidgeot,Pidgeot,normal,flying,83,80,75,70,70,101,479,18.png
26,raichu,Raichu,electric,,60,90,55,90,80,110,485,26.png
31,nidoqueen,Nidoqueen,poison,ground,90,92,87,75,85,76,505,31.png
34,nidoking,Nidoking,poison,ground,81,102,77,85,75,85,505,34.png
36,clefable,Clefable,fairy,,95,70,73,95,90,60,483,36.png
38,ninetales,Ninetales,fire,,73,76,75,81,100,100,505,38.png
45,vileplume,Vileplume,grass,poison,75,80,85,110,90,50,490,45.png
55,golduck,Golduck,water,,80,82,78,95,80,85,500,55.png
59,arcanine,Arcanine,fire,,90,110,80,100,80,95,555,59.png
62,poliwrath,Poliwrath,water,fighting,90,95,95,70,90,70,510,62.png
65,alakazam,Alakazam,psychic,,55,50,45,135,95,120,500,65.png
68,machamp,Machamp,fighting,,90,130,80,65,85,55,505,68.png
71,victreebel,Victreebel,grass,poison,80,105,65,100,70,70,490,71.png
73,tentacruel,Tentacruel,water,poison,80,70,65,80,120,100,515,73.png
76,golem,Golem,rock,ground,80,120,130,55,65,45,495,76.png
78,rapidash,Rapidash,fire,,65,100,70,80,80,105,500,78.png
80,slowbro,Slowbro,water,psychic,95,75,110,100,80,30,490,80.png
87,dewgong,Dewgong,water,ice,90,70,80,70,95,70,475,87.png
89,muk,Muk,poison,,105,105,75,65,100,50,500,89.png
91,cloyster,Cloyster,water,ice,50,95,180,85,45,70,525,91.png
94,gengar,Gengar,ghost,poison,60,65,60,130,75,110,500,94.png
97,hypno,Hypno,psychic,,85,73,70,73,115,67,483,97.png
99,kingler,Kingler,water,,55,130,115,50,50,75,475,99.png
101,electrode,Electrode,electric,,60,50,70,80,80,150,490,101.png
103,exeggutor,Exeggutor,grass,psychic,95,95,85,125,75,55,530,103.png
110,weezing,Weezing,poison,,65,90,120,85,70,60,490,110.png
112,rhydon,Rhydon,ground,rock,105,130,120,45,45,40,485,112.png
115,kangaskhan,Kangaskhan,normal,,105,95,80,40,80,90,490,115.png
121,starmie,Starmie,water,psychic,60,75,85,100,85,115,520,121.png
123,scyther,Scyther,bug,flying,70,110,80,55,80,105,500,123.png
125,electabuzz,Electabuzz,electric,,65,83,57,95,85,105,490,125.png
126,magmar,Magmar,fire,,65,95,57,100,85,93,495,126.png
127,pinsir,Pinsir,bug,,65,125,100,55,70,85,500,127.png
128,tauros,Tauros,normal,,75,100,95,40,70,110,490,128.png
130,gyarados,Gyarados,water,flying,95,125,79,60,100,81,540,130.png
131,lapras,Lapras,water,ice,130,85,80,85,95,60,535,131.png
134,vaporeon,Vaporeon,water,,130,65,60,110,95,65,525,134.png
135,jolteon,Jolteon,electric,,65,65,60,110,95,130,525,135.png
136,flareon,Flareon,fire,,65,130,60,95,110,65,525,136.png
