id,move_name,display_name,move_type,category,base_power
1,pound,Pound,normal,physical,40
2,karate-chop,Karate Chop,fighting,physical,50
3,double-slap,Double Slap,normal,physical,15
4,comet-punch,Comet Punch,normal,physical,18
5,mega-punch,Mega Punch,normal,physical,80
6,pay-day,Pay Day,normal,physical,40
7,fire-punch,Fire Punch,fire,physical,75
8,ice-punch,Ice Punch,ice,physical,75
9,thunder-punch,Thunder Punch,electric,physical,75
10,scratch,Scratch,normal,physical,40
11,vice-grip,Vice Grip,normal,physical,55
13,razor-wind,Razor Wind,normal,special,80
15,cut,Cut,normal,physical,50
16,gust,Gust,flying,special,40
17,wing-attack,Wing Attack,flying,physical,60
19,fly,Fly,flying,physical,90
20,bind,Bind,normal,physical,15
21,slam,Slam,normal,physical,80
22,vine-whip,Vine Whip,grass,physical,45
23,stomp,Stomp,normal,physical,65
24,double-kick,Double Kick,fighting,physical,30
25,mega-kick,Mega Kick,normal,physical,120
26,jump-kick,Jump Kick,fighting,physical,100
27,rolling-kick,Rolling Kick,fighting,physical,60
29,headbutt,Headbutt,normal,physical,70
30,horn-attack,Horn Attack,normal,physical,65
31,fury-attack,Fury Attack,normal,physical,15
33,tackle,Tackle,normal,physical,40
34,body-slam,Body Slam,normal,physical,85
35,wrap,Wrap,normal,physical,15
36,take-down,Take Down,normal,physical,90
37,thrash,Thrash,normal,physical,120
38,double-edge,Double-Edge,normal,physical,120
40,poison-sting,Poison Sting,poison,physical,15
41,twineedle,Twineedle,bug,physical,25
42,pin-missile,Pin Missile,bug,physical,25
44,bite,Bite,dark,physical,60
51,acid,Acid,poison,special,40
52,ember,Ember,fire,special,40
53,flamethrower,Flamethrower,fire,special,90
55,water-gun,Water Gun,water,special,40
56,hydro-pump,Hydro Pump,water,special,110
57,surf,Surf,water,special,90
58,ice-beam,Ice Beam,ice,special,90
59,blizzard,Blizzard,ice,special,110
60,psybeam,Psybeam,psychic,special,65
61,bubble-beam,Bubble Beam,water,special,65
62,aurora-beam,Aurora Beam,ice,special,65
63,hyper-beam,Hyper Beam,normal,special,150
64,peck,Peck,flying,physical,35
65,drill-peck,Drill Peck,flying,physical,80
66,submission,Submission,fighting,physical,80
70,strength,Strength,normal,physical,80
71,absorb,Absorb,grass,special,20
72,mega-drain,Mega Drain,grass,special,40
75,razor-leaf,Razor Leaf,grass,physical,55
76,solar-beam,Solar Beam,grass,special,120
80,petal-dance,Petal Dance,grass,special,120
83,fire-spin,Fire Spin,fire,special,35
84,thunder-shock,Thunder Shock,electric,special,40
85,thunderbolt,Thunderbolt,electric,special,90
87,thunder,Thunder,electric,special,110
88,rock-throw,Rock Throw,rock,physical,50
89,earthquake,Earthquake,ground,physical,100
91,dig,Dig,ground,physical,80
93,confusion,Confusion,psychic,special,50
94,psychic,Psychic,psychic,special,90
98,quick-attack,Quick Attack,normal,physical,40
99,rage,Rage,normal,physical,20
120,self-destruct,Self-Destruct,normal,physical,200
121,egg-bomb,Egg Bomb,normal,physical,100
122,lick,Lick,ghost,physical,30
123,smog,Smog,poison,special,30
124,sludge,Sludge,poison,special,65
125,bone-club,Bone Club,ground,physical,65
126,fire-blast,Fire Blast,fire,special,110
127,waterfall,Waterfall,water,physical,80
128,clamp,Clamp,water,physical,35
129,swift,Swift,normal,special,60
130,skull-bash,Skull Bash,normal,physical,130
131,spike-cannon,Spike Cannon,normal,physical,20
132,constrict,Constrict,normal,physical,10
136,high-jump-kick,High Jump Kick,fighting,physical,130
138,dream-eater,Dream Eater,psychic,special,100
140,barrage,Barrage,normal,physical,15
141,leech-life,Leech Life,bug,physical,80
143,sky-attack,Sky Attack,flying,physical,140
145,bubble,Bubble,water,special,40
146,dizzy-punch,Dizzy Punch,normal,physical,70
152,crabhammer,Crabhammer,water,physical,100
153,explosion,Explosion,normal,physical,250
154,fury-swipes,Fury Swipes,normal,physical,18
155,bonemerang,Bonemerang,ground,physical,50
157,rock-slide,Rock Slide,rock,physical,75
158,hyper-fang,Hyper Fang,normal,physical,80
161,tri-attack,Tri Attack,normal,special,80
163,slash,Slash,normal,physical,70
165,struggle,Struggle,normal,physical,50
167,triple-kick,Triple Kick,fighting,physical,10
168,thief,Thief,dark,physical,60
172,flame-wheel,Flame Wheel,fire,physical,60
173,snore,Snore,normal,special,50
177,aeroblast,Aeroblast,flying,special,100
181,powder-snow,Powder Snow,ice,special,40
183,mach-punch,Mach Punch,fighting,physical,40
185,feint-attack,Feint Attack,dark,physical,60
188,sludge-bomb,Sludge Bomb,poison,special,90
189,mud-slap,Mud Slap,ground,special,20
190,octazooka,Octazooka,water,special,65
192,zap-cannon,Zap Cannon,electric,special,120
196,icy-wind,Icy Wind,ice,special,55
198,bone-rush,Bone Rush,ground,physical,25
200,outrage,Outrage,dragon,physical,120
202,giga-drain,Giga Drain,grass,special,75
205,rollout,Rollout,rock,physical,30
206,false-swipe,False Swipe,normal,physical,40
209,spark,Spark,electric,physical,65
210,fury-cutter,Fury Cutter,bug,physical,40
211,steel-wing,Steel Wing,steel,physical,70
221,sacred-fire,Sacred Fire,fire,physical,100
223,dynamic-punch,Dynamic Punch,fighting,physical,100
224,megahorn,Megahorn,bug,physical,120
225,dragon-breath,Dragon Breath,dragon,special,60
228,pursuit,Pursuit,dark,physical,40
229,rapid-spin,Rapid Spin,normal,physical,50
231,iron-tail,Iron Tail,steel,physical,100
232,metal-claw,Metal Claw,steel,physical,50
233,vital-throw,Vital Throw,fighting,physical,70
237,hidden-power,Hidden Power,normal,special,60
238,cross-chop,Cross Chop,fighting,physical,100
239,twister,Twister,dragon,special,40
242,crunch,Crunch,dark,physical,80
245,extreme-speed,Extreme Speed,normal,physical,80
246,ancient-power,Ancient Power,rock,special,60
247,shadow-ball,Shadow Ball,ghost,special,80
248,future-sight,Future Sight,psychic,special,120
249,rock-smash,Rock Smash,fighting,physical,40
250,whirlpool,Whirlpool,water,special,35
252,fake-out,Fake Out,normal,physical,40
253,uproar,Uproar,normal,special,90
257,heat-wave,Heat Wave,fire,special,95
263,facade,Facade,normal,physical,70
264,focus-punch,Focus Punch,fighting,physical,150
265,smelling-salts,Smelling Salts,normal,physical,70
276,superpower,Superpower,fighting,physical,120
279,revenge,Revenge,fighting,physical,60
280,brick-break,Brick Break,fighting,physical,75
282,knock-off,Knock Off,dark,physical,65
284,eruption,Eruption,fire,special,150
290,secret-power,Secret Power,normal,physical,70
291,dive,Dive,water,physical,80
292,arm-thrust,Arm Thrust,fighting,physical,15
295,luster-purge,Luster Purge,psychic,special,95
296,mist-ball,Mist Ball,psychic,special,95
299,blaze-kick,Blaze Kick,fire,physical,85
301,ice-ball,Ice Ball,ice,physical,30
302,needle-arm,Needle Arm,grass,physical,60
304,hyper-voice,Hyper Voice,normal,special,90
305,poison-fang,Poison Fang,poison,physical,50
306,crush-claw,Crush Claw,normal,physical,75
307,blast-burn,Blast Burn,fire,special,150
