id,name,display_name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst,image,pokemon_category
3,venusaur,Venusaur,grass,poison,80,82,83,100,100,80,525,3.png,basic
6,charizard,Charizard,fire,flying,78,84,78,109,85,100,534,6.png,basic
9,blastoise,Blastoise,water,,79,83,100,85,105,78,530,9.png,basic
18,pidgeot,Pidgeot,normal,flying,83,80,75,70,70,101,479,18.png,basic
26,raichu,Raichu,electric,,60,90,55,90,80,110,485,26.png,basic
31,nidoqueen,Nidoqueen,poison,ground,90,92,87,75,85,76,505,31.png,basic
34,nidoking,Nidoking,poison,ground,81,102,77,85,75,85,505,34.png,basic
36,clefable,Clefable,fairy,,95,70,73,95,90,60,483,36.png,basic
38,ninetales,Ninetales,fire,,73,76,75,81,100,100,505,38.png,basic
45,vileplume,Vileplume,grass,poison,75,80,85,110,90,50,490,45.png,basic
55,golduck,Golduck,water,,80,82,78,95,80,85,500,55.png,basic
59,arcanine,Arcanine,fire,,90,110,80,100,80,95,555,59.png,basic
62,poliwrath,Poliwrath,water,fighting,90,95,95,70,90,70,510,62.png,basic
65,alakazam,Alakazam,psychic,,55,50,45,135,95,120,500,65.png,basic
68,machamp,Machamp,fighting,,90,130,80,65,85,55,505,68.png,basic
71,victreebel,Victreebel,grass,poison,80,105,65,100,70,70,490,71.png,basic
73,tentacruel,Tentacruel,water,poison,80,70,65,80,120,100,515,73.png,basic
76,golem,Golem,rock,ground,80,120,130,55,65,45,495,76.png,basic
78,rapidash,Rapidash,fire,,65,100,70,80,80,105,500,78.png,basic
80,slowbro,Slowbro,water,psychic,95,75,110,100,80,30,490,80.png,basic
87,dewgong,Dewgong,water,ice,90,70,80,70,95,70,475,87.png,basic
89,muk,Muk,poison,,105,105,75,65,100,50,500,89.png,basic
91,cloyster,Cloyster,water,ice,50,95,180,85,45,70,525,91.png,basic
94,gengar,Gengar,ghost,poison,60,65,60,130,75,110,500,94.png,basic
97,hypno,Hypno,psychic,,85,73,70,73,115,67,483,97.png,basic
99,kingler,Kingler,water,,55,130,115,50,50,75,475,99.png,basic
101,electrode,Electrode,electric,,60,50,70,80,80,150,490,101.png,basic
103,exeggutor,Exeggutor,grass,psychic,95,95,85,125,75,55,530,103.png,basic
110,weezing,Weezing,poison,,65,90,120,85,70,60,490,110.png,basic
112,rhydon,Rhydon,ground,rock,105,130,120,45,45,40,485,112.png,basic
