id,move_name,move_type,category,base_power
1,pound,normal,physical,40
2,karate-chop,fighting,physical,50
3,double-slap,normal,physical,15
4,comet-punch,normal,physical,18
5,mega-punch,normal,physical,80
6,pay-day,normal,physical,40
7,fire-punch,fire,physical,75
8,ice-punch,ice,physical,75
9,thunder-punch,electric,physical,75
10,scratch,normal,physical,40
11,vice-grip,normal,physical,55
12,guillotine,normal,physical,
13,razor-wind,normal,special,80
14,swords-dance,normal,status,
15,cut,normal,physical,50
16,gust,flying,special,40
17,wing-attack,flying,physical,60
18,whirlwind,normal,status,
19,fly,flying,physical,90
20,bind,normal,physical,15
21,slam,normal,physical,80
22,vine-whip,grass,physical,45
23,stomp,normal,physical,65
24,double-kick,fighting,physical,30
25,mega-kick,normal,physical,120
26,jump-kick,fighting,physical,100
27,rolling-kick,fighting,physical,60
28,sand-attack,ground,status,
29,headbutt,normal,physical,70
30,horn-attack,normal,physical,65
31,fury-attack,normal,physical,15
32,horn-drill,normal,physical,
33,tackle,normal,physical,40
34,body-slam,normal,physical,85
35,wrap,normal,physical,15
36,take-down,normal,physical,90
37,thrash,normal,physical,120
38,double-edge,normal,physical,120
39,tail-whip,normal,status,
40,poison-sting,poison,physical,15
41,twineedle,bug,physical,25
42,pin-missile,bug,physical,25
43,leer,normal,status,
44,bite,dark,physical,60
45,growl,normal,status,
46,roar,normal,status,
47,sing,normal,status,
48,supersonic,normal,status,
49,sonic-boom,normal,special,
50,disable,normal,status,
51,acid,poison,special,40
52,ember,fire,special,40
53,flamethrower,fire,special,90
54,mist,ice,status,
55,water-gun,water,special,40
56,hydro-pump,water,special,110
57,surf,water,special,90
58,ice-beam,ice,special,90
59,blizzard,ice,special,110
60,psybeam,psychic,special,65
61,bubble-beam,water,special,65
62,aurora-beam,ice,special,65
63,hyper-beam,normal,special,150
64,peck,flying,physical,35
65,drill-peck,flying,physical,80
66,submission,fighting,physical,80
67,low-kick,fighting,physical,
68,counter,fighting,physical,
69,seismic-toss,fighting,physical,
70,strength,normal,physical,80
71,absorb,grass,special,20
72,mega-drain,grass,special,40
73,leech-seed,grass,status,
74,growth,normal,status,
75,razor-leaf,grass,physical,55
76,solar-beam,grass,special,120
77,poison-powder,poison,status,
78,stun-spore,grass,status,
79,sleep-powder,grass,status,
80,petal-dance,grass,special,120
81,string-shot,bug,status,
82,dragon-rage,dragon,special,
83,fire-spin,fire,special,35
